Taxa,PADEP-PTV,Sorg-PTV,Difference
Ephemeroptera,3.4,4.595,1.2
Ameletidae,0,4.595,4.6
Ameletus,0,4.595,4.6
Siphlonurus,7,4.595,-2.4
Baetidae,6,4.257,-1.7
Isonychiidae,3,4.595,1.6
Isonychia,3,4.595,1.6
Heptageniidae,3,4.595,1.6
Epeorus,0,4.595,4.6
Heptagenia,4,4.595,0.6
Rhithrogena,0,4.595,4.6
Arthropleidae,3,4.595,1.6
Arthroplea,3,4.595,1.6
Ephemerellidae,2,4.595,2.6
Neoephemeridae,3,4.595,1.6
Neoephemera,3,4.595,1.6
Caenidae,7,4.595,-2.4
Brachycercus,3,4.595,1.6
Caenis,7,4.595,-2.4
Leptophlebiidae,4,4.595,0.6
Ephemeridae,4,4.595,0.6
Polymitarcyidae,2,4.595,2.6
Ephoron,2,4.595,2.6
Odonata,5,6.676,1.4
Gomphidae,4,6.676,2.7
Gomphus,5,6.676,1.7
Ophiogomphus,1,6.676,5.7
Aeshnidae,3,6.676,3.7
Aeshna,5,6.676,1.7
Anax,5,6.676,1.7
Boyeria,2,6.676,4.7
Cordulegastridae,3,6.676,3.7
Cordulegaster,3,6.676,3.7
Corduliidae,5,6.676,1.7
Somatochlora,1,6.676,5.7
Macromia,2,6.676,4.7
Libellulidae,9,6.676,-2.3
Leucorrhinia,6,6.676,0.7
Pantala,7,6.676,-0.3
Sympetrum,4,6.676,2.7
Tramea,4,6.676,2.7
Calopterygidae,5,5.000,0.0
Calopteryx,6,5.000,-1.0
Lestes,9,5.853,-3.1
Coenagrionidae,8,4.189,-3.8
Enallagma,8,4.189,-3.8
Ischnura,9,4.189,-4.8
Nehalennia,7,4.189,-2.8
Plecoptera,2,0.000,-1.6
Taeniopterygidae,2,0.000,-2.0
Taeniopteryx,2,0.000,-2.0
Oemopteryx,3,0.000,-3.0
Nemouridae,2,0.878,-1.1
Leuctridae,0,0.000,0.0
Leuctra,0,0.000,0.0
Capniidae,3,0.000,-3.0
Capnia,1,0.000,-1.0
Perlidae,3,0.000,-3.0
Agnetina,2,0.000,-2.0
Paragnetina,1,0.000,-1.0
Perlodidae,2,0.000,-2.0
Isoperla,2,0.000,-2.0
Arcynopteryx,2,0.000,-2.0
Chloroperlidae,0,0.000,0.0
Nepidae,8,5.500,-2.5
Pleidae,8,5.500,-2.5
Corixidae,8,4.527,-3.5
Notonectidae,8,6.265,-1.7
Sialis,6,2.973,-3.0
Trichoptera,3,2.973,-0.1
Philopotamidae,3,2.973,0.0
Chimarra,4,2.973,-1.0
Dolophilodes,0,2.973,3.0
Wormaldia,0,2.973,3.0
Psychomyiidae,2,2.973,1.0
Lype,2,2.973,1.0
Psychomyia,2,2.973,1.0
Polycentropodidae,6,2.973,-3.0
Neureclipsis,7,2.973,-4.0
Polycentropus,6,2.973,-3.0
Hydropsychidae,5,6.882,1.9
Arctopsyche,1,6.882,5.9
Diplectrona,0,6.882,6.9
Ceratopsyche,5,6.882,1.9
Cheumatopsyche,6,6.882,0.9
Hydropsyche,5,6.882,1.9
Macrostemum,3,6.882,3.9
Rhyacophilidae,1,2.973,2.0
Rhyacophila,1,2.973,2.0
Glossosomatidae,0,2.973,3.0
Glossosoma,0,2.973,3.0
Agapetus,0,2.973,3.0
Hydroptilidae,4,2.973,-1.0
Agraylea,8,2.973,-5.0
Hydroptila,6,2.973,-3.0
Oxyethira,3,2.973,0.0
Stactobiella,2,2.973,1.0
Ithytrichia,6,2.973,-3.0
Orthotrichia,6,2.973,-3.0
Phryganeidae,4,2.973,-1.0
Agrypnia,7,2.973,-4.0
Hagenella,5,2.973,-2.0
Oligostomis,5,2.973,-2.0
Phryganea,8,2.973,-5.0
Brachycentridae,1,2.973,2.0
Brachycentrus,1,2.973,2.0
Micrasema,2,2.973,1.0
Lepidostomatidae,1,2.973,2.0
Lepidostoma,1,2.973,2.0
Limnephilidae,4,2.973,-1.0
Limnephilus,3,2.973,0.0
Uenoidae,3,2.973,0.0
Beraeidae,3,2.973,0.0
Beraea,3,2.973,0.0
Sericostomatidae,3,2.973,0.0
Molannidae,6,2.973,-3.0
Molanna,6,2.973,-3.0
Helicopsychidae,3,2.973,0.0
Helicopsyche,3,2.973,0.0
Calamoceratidae,5,2.973,-2.0
Leptoceridae,4,2.973,-1.0
Odontoceridae,0,2.973,3.0
Coleoptera,5,7.235,2.1
Gyrinidae,4,7.235,3.2
Haliplidae,5,9.235,4.2
Dytiscidae,5,6.235,1.2
Noteridae,5,7.235,2.2
Helophoridae,5,6.471,1.5
Hydrochidae,5,6.471,1.5
Hydrophilidae,5,6.471,1.5
Hydraenidae,6,7.235,1.2
Psephenidae,4,7.235,3.2
Dryopidae,5,7.235,2.2
Scirtidae,8,7.235,-0.8
Elmidae,5,7.235,2.2
Chrysomelidae,5,7.235,2.2
Curculionidae,6,7.235,1.2
Ceratopogonidae,6,4.932,-1.1
Chaoboridae,8,4.932,-3.1
Dixidae,1,4.932,3.9
Ptychopteridae,8,4.932,-3.1
Athericidae,2,4.932,2.9
Empididae,6,4.932,-1.1
Stratiomyidae,8,4.932,-3.1
Tabanidae,6,4.932,-1.1
Muscidae,6,4.932,-1.1
Syrphidae,10,4.932,-5.1
Tipulidae,4,4.932,0.9
Simuliidae,6,5.206,-0.8
Chironomidae,6,5.000,-1.0
Turbellaria,9,5.118,-3.9
Valvatidae,2,9.206,7.2
Viviparidae,7,8.265,1.3
Bithyniidae,7,9.206,2.2
Micromelaniidae,7,9.206,2.2
Hydrobiidae,8,9.206,1.2
Pleuroceridae,7,9.206,2.2
Physidae,8,8.676,0.7
Planorbidae,6,9.559,3.6
Ancylidae,7,9.206,2.2
Margaritiferidae,5,10.000,5.0
Unionidae,4,10.000,6.0
Sphaeriidae,8,10.000,2.0
Corbiculidae,4,10.000,6.0
Dreissenidae,5,10.000,5.0
Oligochaeta,10,7.088,-2.9
Gammaridae,4,1.486,-2.5
Asellidae,8,5.206,-2.8
